"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-06",,,,,"1.63",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-07",,,,,"0.01",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-09",,,,,"0.17",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-10",,,,,"0.03",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-11",,,,,"0.03",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-12",,,,,"1.17",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-13",,,,,"0.49",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-14",,,,,"1.55",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-15",,,,,"0.09",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-17",,,,,"2.10",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-24","    7",",L,N",,,,,,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-25",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-26",,,,,"2.65",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-29","    2",",,N","1.84",",,N",,,,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-30",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-05-31",,,,,"1.22",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-01",,,,,"0.00","T,,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-02",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-03",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-06",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-10",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-11",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-12",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-14",,,,,"1.46",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-15",,,,,"0.30",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-16",,,,,"0.30",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-17",,,,,"0.88",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-18",,,,,"0.70",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-19",,,,,"1.10",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-20",,,,,"0.04",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-21",,,,,"0.26",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-22",,,,,"0.58",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-23",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-24",,,,,"0.22",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-25",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-26",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-27",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-28",,,,,"0.02",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-29",,,,,"0.01",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-06-30",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-01",,,,,"0.04",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-02",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-03",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-06",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-10",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-11",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-12",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-14",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-15",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-16",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-17",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-18",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-19",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-20",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-21",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-22",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-23",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-24",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-25",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-26",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-27",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-28",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-29",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-30",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-07-31",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-01",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-02",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-03",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-06",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-10",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-11",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-12",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-14",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-15",,,,,"0.06",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-16",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-17",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-18",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-19",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-20",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-21",,,,,"0.26",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-22",,,,,"0.02",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-23",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-24",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-25",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-26",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-27",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-28",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-29",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-30",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-08-31",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-01",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-02",,,,,"0.56",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-03",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-06",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-10",,,,,"0.19",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-11",,,,,"0.70",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-12",,,,,"0.05",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-14",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-15",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-16",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-17",,,,,"0.02",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-18",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-19",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-20",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-21",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-22",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-23",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-24",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-25",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-26",,,,,"0.64",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-27",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-28",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-29",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-09-30",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-01",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-02",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-03",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-05",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-06",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-07",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-08",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-10",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-11",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-12",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-13",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-14",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-15",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-16",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-17",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-18",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-19",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-20",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-21",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-22",,,,,"0.12",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-23",,,,,"0.13",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-24",,,,,"3.15",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-25",,,,,"3.06",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-26",,,,,"0.08",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-27",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-28",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-29",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-30",,,,,"1.18",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-10-31",,,,,"8.25",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-01",,,,,"0.01",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-02",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-03",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-04",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-05",,,,,"0.11",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-06",,,,,"0.03",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-07",,,,,"0.17",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-08",,,,,"0.14",",,N",,,,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-09",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-10",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1TXTV0164","AUSTIN 4.1 SW, TX US","30.2277973","-97.793987","205.4","2015-11-11",,,,,"0.00",",,N","0.0",",,N",,,,,,
